,0,1,2,3,4,5,6,7,8,9,10,11
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.527659925146067e-05,0.001320984145375431,0.0008705503733911343,0.0,0.006932537005651579
2022-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6869323297765438e-05,0.000268934689434843,6.344921505944497e-05,0.0,0.0
2022-01-08,0.0,0.0,0.0,0.0,0.0,0.0,3.7120085786431138e-06,0.0006319686078537592,0.0013802831905070803,0.0014738167459112622,0.0,0.0
2022-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006373138360836082,1.7975542960995104e-05,0.0,0.0
2022-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0005151539462009886,0.0008743682540208529,0.0018236144888505112,0.0005849742876868166,0.0,0.0
2022-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004266644936746079,0.0009286340231302097,0.0,0.0
2022-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012360387550472245,0.0004343496141151442,0.0,0.0
2022-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012659940968535936,5.9463839067927704e-05,0.00022827797045791296,0.00018726486466475058
2022-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016450452823516624,8.439790245677794e-05,0.0,0.0
2022-01-16,0.0,0.0,0.00018136276553308632,0.0029597917619054765,0.002448121695297954,0.003037678863563796,0.00016811673504300907,0.00025291365163727404,0.0003790511854980689,2.493406338885024e-05,0.0,0.0
2022-01-17,0.0,0.0,0.0,0.00017505027251624804,0.0005415264047146259,0.0,0.00016352139040563457,7.822828022856463e-05,0.00046206723564793067,0.0003704256255753995,0.0,0.0
2022-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046206723564793067,0.0003704256255753995,0.0,0.0
2022-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000955400819400509,0.001161161588588085,0.0,0.0
2022-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000728037335102569,2.0534414370736762e-05,0.0,0.0
2022-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019868422620808327,0.000474031341916213,0.0,0.0
2022-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010286043909452035,0.0008246016934119881,0.0,0.0
2022-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005492408989073988,0.0012625675700271939,0.0,0.0
2022-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010356692124799721,0.00039755368232911474,0.0,0.0
2022-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000728037335102569,2.0534414370736762e-05,0.0,0.0
2022-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001619411574230978,0.0005947798124441271,0.0,0.0
2022-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007099272410904875,0.0005691276552539071,0.0,0.0
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0002553944765427546,0.0006560518374659212,0.00011023653746081612,4.887331075900875e-05,0.00023160415787118935,0.0,0.0
2022-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.00013628604349661942,0.0007775484657377563,0.0013138509960208212,0.001403105001100263,0.0,0.0
2022-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012155599656531785,0.00044645261272083903,0.0,0.0
2022-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007629255407295727,1.2857800141511793e-05,0.0,0.0
2022-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000892478678790939,0.00032779085294220857,0.0,0.0
2022-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010956299006026607,0.00023013001408748811,0.0,0.0
2022-02-09,0.0,0.0,0.00019591923910739027,0.0010476721976167033,0.0023130659631476966,0.0021989459712349565,0.0014919774557957729,0.00022367619957227173,1.0171994915168202e-05,0.0,0.0,0.0
2022-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007099272410904875,0.0005691276552539071,0.0,0.0
2022-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001509487567170437,0.0004010650648384296,0.0,0.0
2022-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012410153605558571,0.0014771652299536448,0.022403333732057544,0.0
2022-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001189584204171424,0.00035489742147712454,0.0,0.0
2022-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-16,0.0,0.0,0.0,0.0,0.0,4.272649819758976e-05,0.0010920921980206177,0.0002948098937653958,0.00012302983162833513,0.0,0.0,0.0
2022-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004974758078540102,0.0003988116298151862,0.0,0.0
2022-02-20,0.0,0.00036836901667969057,0.002233794297525636,0.0021212751132888225,0.003959903570533807,0.00403310506641017,0.0038341603612480715,0.005364744196527913,0.00373873841871359,0.0009827025268832215,0.0,0.0
2022-02-21,0.0,0.00036836901667969057,0.002233794297525636,0.0021212751132888225,0.003959903570533807,0.00403310506641017,0.0044181828131640835,0.009466046605126583,0.00868191273696859,0.004968904054079374,0.0,0.0
2022-02-22,0.0,0.0,0.00011402940523609959,0.0010779662524321438,0.0038518482054762317,0.0024728077903219924,0.0018828525195492738,0.002564301751827033,0.0031744571084199205,0.0042018162653276875,0.0,0.0
2022-02-23,0.0,0.0,0.0,0.0,0.0,0.0,1.2959022361590995e-05,0.002185785996749092,0.07968530075377629,0.23725914075937118,0.022188472093962484,0.00042950798318255705
2022-02-24,0.0,0.0,0.0,0.0,0.0,0.0,1.8686676585780034e-05,0.0030873536625436343,0.13703816179458966,0.30215752526880174,0.07724018073977088,0.28734924184866784
2022-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010131504806604876,0.0006548272194579042,0.0018702002699338375,0.024674863059733446,0.2869197338654853
2022-02-26,0.0,0.0,0.0,0.0,0.0,0.0,6.52329099948363e-05,0.0002147971922837025,0.0007856171009995419,0.0003704379231910967,0.0,0.009235768685178874
2022-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005828081010773113,0.0004181160650499801,0.0,0.0
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014258257624435759,0.000298125412997551,0.0,0.0
2022-03-02,,,,,,,,,,,,
2022-03-03,,,,,,,,,,,,
2022-03-04,,,,,,,,,,,,
2022-03-05,,,,,,,,,,,,
2022-03-06,,,,,,,,,,,,
2022-03-07,,,,,,,,,,,,
2022-03-08,,,,,,,,,,,,
2022-03-09,,,,,,,,,,,,
2022-03-10,,,,,,,,,,,,
2022-03-11,,,,,,,,,,,,
2022-03-12,,,,,,,,,,,,
2022-03-13,,,,,,,,,,,,
2022-03-14,,,,,,,,,,,,
2022-03-15,,,,,,,,,,,,
2022-03-16,,,,,,,,,,,,
2022-03-17,,,,,,,,,,,,
2022-03-18,,,,,,,,,,,,
2022-03-19,,,,,,,,,,,,
2022-03-20,,,,,,,,,,,,
2022-03-21,,,,,,,,,,,,
2022-03-22,,,,,,,,,,,,
2022-03-23,,,,,,,,,,,,
2022-03-24,,,,,,,,,,,,
2022-03-25,,,,,,,,,,,,
2022-03-26,,,,,,,,,,,,
2022-03-27,,,,,,,,,,,,
2022-03-28,,,,,,,,,,,,
2022-03-29,,,,,,,,,,,,
2022-03-30,,,,,,,,,,,,
2022-03-31,,,,,,,,,,,,
2022-04-01,,,,,,,,,,,,
2022-04-02,,,,,,,,,,,,
2022-04-03,,,,,,,,,,,,
2022-04-04,,,,,,,,,,,,
2022-04-05,,,,,,,,,,,,
2022-04-06,,,,,,,,,,,,
2022-04-07,,,,,,,,,,,,
2022-04-08,,,,,,,,,,,,
2022-04-09,,,,,,,,,,,,
2022-04-10,,,,,,,,,,,,
2022-04-11,,,,,,,,,,,,
2022-04-12,,,,,,,,,,,,
2022-04-13,,,,,,,,,,,,
2022-04-14,,,,,,,,,,,,
2022-04-15,,,,,,,,,,,,
2022-04-16,,,,,,,,,,,,
2022-04-17,,,,,,,,,,,,
